area,type,name,osmid
4th Phase,bus_station,Bus Station Puttanahalli,4242256789
4th Phase,bus_station,Yelahanka Satellite Town,412909365
5th Block,public_transport=station,Unnamed,1428321423
5th Phase,bus_station,Yelahanka Satellite Town,412909365
AGS Layout,public_transport=station,AGS Layout Bus Stand,2126404931
AMS Layout,bus_station,Vidyaranyapura Bus Terminus,400455142
Abbaiah Reddy Layout,bus_station,Vignananagar Bus Station,415124236
Adarsh Nagar,bus_stop,Shaji Stores,5329386293
Akkithimmanahalli,public_transport=station,Shantinagara Bus Station,1455412266
Amarjyothi Layout,public_transport=station,Domlur Bus Station,31231545
Amarjyothi Nagara,public_transport=station,Hebbal Bus Station,393785885
Amarjyothi Nagara,public_transport=station,Hebbal Bus Station,393785886
Amarjyothi Nagara,public_transport=platform,Hebbala,782061210
Amarjyothi Nagara,public_transport=platform,Hebbala,782061211
Amarjyothi Nagara,public_transport=platform,Hebbala,782061212
Ambedkar Nagar,bus_station,Viveknagar Bus Station,326201186
Anand Nagar,public_transport=station,Hebbal Bus Station,393785885
Anand Nagar,public_transport=station,Hebbal Bus Station,393785886
Anand Nagar,public_transport=platform,Hebbala,782061210
Anand Nagar,public_transport=platform,Hebbala,782061211
Anand Nagar,public_transport=platform,Hebbala,782061212
Anand Nagar Colony,public_transport=platform,Hebbala,782061210
Anand Nagar Colony,public_transport=platform,Hebbala,782061211
Anand Nagar Colony,public_transport=platform,Hebbala,782061212
Anandapuram,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
Anepalya,bus_station,Neelasandra,401993921
Anglo-Indian Quarters,bus_station,Neelasandra,401993921
Aramane Nagara,public_transport=station,Chikkamaranahalli,446805877
Aramane Nagara,bus_station,Chikkamaranahalli,323113360
Arkavathy Layout 20th Block,bus_station,Kalyan Nagar BMTC Depot,687173199
Ashokanagara,public_transport=station,N. R. Colony Bus Station,490824219
Ashokapuram,bus_station,KSRTC Pickup Point,9942510003
Ashokapuram,public_transport=station,Yeshwanthapura TTMC,393781676
Attigupe,bus_station,Chandra Layout Bus Station,437848260
Attur Layout,bus_station,Yelahanka Satellite Town,412909365
