h3,value_mean,value_std,value_count,coverage_school,coverage_hospital,coverage_pharmacy,coverage_supermarket,coverage_bus_station,coverage_park,coverage_bank,walkability_variance,accessibility_mean,population_weighted_accessibility
8860145101fffff,29.701833103627102,3.6106335847471565,63,0.06349206349206349,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,13.036674883304102,30.24127142756461,30.24127142756461
8860145103fffff,18.09429683417295,1.0856679831383653,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.178674969611726,15.75532225708361,15.75532225708361
8860145105fffff,40.07529900579776,2.821053931128455,27,0.6296296296296297,0.037037037037037035,0.0,0.0,0.0,0.6296296296296297,0.1111111111111111,7.958345282335308,42.33274315285768,42.33274315285768
8860145107fffff,42.95024533096883,5.749270110727107,64,0.65625,0.125,0.0,0.34375,0.0,0.5625,0.125,33.05410680610007,45.12217506870091,45.12217506870091
8860145109fffff,24.821938606002934,1.2885314114996824,86,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,1.660313198421364,24.0008474066382,24.000847406638208
886014510bfffff,22.18673113047009,1.036187248134267,113,0.0,0.0,0.0,0.0,0.0,0.8672566371681416,0.0,1.0736840131960652,20.58000983222349,20.580009832223492
886014510dfffff,35.27826327253332,3.966778703111535,53,0.9056603773584906,0.0,0.0,0.0,0.0,0.7547169811320755,0.0,15.73533327945923,36.90701145831833,36.90701145831832
8860145111fffff,19.773034766069713,2.11326062229452,57,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,4.465870457740622,17.612403213798924,17.612403213798924
8860145113fffff,18.80938535833471,2.1399742235512837,56,0.26785714285714285,0.0,0.0,0.0,0.0,0.0,0.0,4.579489677463919,16.378461865202656,16.378461865202656
8860145115fffff,21.74128558853675,1.401713662524677,85,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,1.9648011917083446,20.098503119560576,20.098503119560572
8860145117fffff,26.14571057445328,1.4527732327678549,113,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.110550065846764,25.483117185149936,25.483117185149936
8860145119fffff,15.702302634595743,0.46826853536097757,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2192754212091151,12.70184709577623,12.70184709577623
886014511bfffff,14.52534194374933,0.9849708837003581,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701676417374644,11.110691791178672,11.110691791178672
886014511dfffff,18.99645877554737,1.1272966741896275,100,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.2707977916389952,16.66803003790418,16.66803003790418
8860145121fffff,66.4145586326167,3.47063749914771,132,0.7121212121212122,1.0,0.0,1.0,0.3106060606060606,1.0,0.7803030303030303,12.045324650490269,68.65566428802829,68.65566428802829
8860145123fffff,55.761654250642614,5.118507285920283,124,0.8467741935483871,1.0,0.0,0.717741935483871,0.0,0.967741935483871,0.07258064516129033,26.19911683601902,57.575117750602786,57.575117750602786
8860145125fffff,68.55756911132256,5.046896987190208,161,1.0,1.0,0.0,1.0,0.0,1.0,0.9130434782608695,25.471169199309603,70.80362373600059,70.80362373600059
8860145127fffff,61.1601874817223,4.775121882626265,137,0.6277372262773723,1.0,0.0,0.6788321167883211,0.0,0.8905109489051095,0.9708029197080292,22.801788993936203,62.916508405421666,62.916508405421666
8860145129fffff,54.04015348457195,6.415202374403777,108,0.19444444444444445,0.7592592592592593,0.0,0.26851851851851855,0.6296296296296297,0.4722222222222222,0.7222222222222222,41.15482150455586,55.9138870123437,55.913887012343714
886014512bfffff,56.96621259268553,4.145522124303138,98,0.9285714285714286,0.9387755102040817,0.0,0.8877551020408163,0.0,0.35714285714285715,0.5408163265306123,17.185353683086806,59.0860640234149,59.0860640234149
886014512dfffff,64.11159473007605,3.778748630166916,102,1.0,1.0,0.0,0.7549019607843137,0.12745098039215685,1.0,0.49019607843137253,14.278941209988346,66.18463248542729,66.18463248542727
8860145131fffff,51.04334079692263,2.3787026551159296,32,0.5,0.53125,0.0,0.0625,0.0,0.0,0.875,5.658226321455572,52.57772432228857,52.577724322288574
8860145133fffff,44.50106494304072,5.175231814507068,76,1.0,0.09210526315789473,0.039473684210526314,0.0,0.0,0.0,0.18421052631578946,26.78302433388612,46.07777386699405,46.07777386699406
8860145135fffff,43.106859279499766,1.6659128148813784,41,0.0,0.9024390243902439,0.0,0.0,0.0,0.5365853658536586,0.0,2.775265506785998,44.310629375490656,44.31062937549066
8860145137fffff,48.381078045033135,4.829675428542876,55,0.9090909090909091,0.2727272727272727,0.0,0.0,0.0,0.8,0.01818181818181818,23.325764745070813,49.89339185982672,49.893391859826735
8860145139fffff,20.781658471038114,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,19.138852709541112,19.138852709541112
886014513bfffff,28.950554143900927,4.713349160288382,36,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,22.21566030679119,29.101419356794207,29.1014193567942
886014513dfffff,56.41675875506099,3.3380557363458903,53,0.8867924528301887,0.8679245283018868,0.0,1.0,0.0,0.2830188679245283,0.9811320754716981,11.142616098951702,58.600068087426614,58.600068087426614
8860145141fffff,42.31164723463278,5.663266942622043,115,0.017391304347826087,0.7565217391304347,0.0,0.0,0.0,0.43478260869565216,0.0,32.072592463395615,44.15968062637661,44.159680626376606
8860145143fffff,25.06339487966545,5.7364936786286895,44,0.0,0.0,0.0,0.0,0.0,0.3409090909090909,0.0,32.907359724946915,24.573584242613023,24.573584242613027
8860145145fffff,45.16769228521087,5.343261854386948,81,0.024691358024691357,0.8395061728395061,0.0,0.0,0.0,0.4691358024691358,0.0,28.550447244546643,46.871116667423934,46.87111666742394
8860145147fffff,31.86478211694136,2.7807564644113043,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7326065143652585,33.31398377860888,33.31398377860888
8860145149fffff,53.58061105615314,3.6106888094166676,71,0.971830985915493,0.5492957746478874,0.0,0.4507042253521127,0.0,1.0,0.3380281690140845,13.037073678446752,56.173904331294054,56.173904331294054
886014514bfffff,41.68937867296458,4.706954779689166,50,0.32,0.3,0.0,0.5,0.0,0.94,0.0,22.155423298038684,44.27790137212001,44.27790137212001
886014514dfffff,61.71660778945719,5.800173910993844,127,0.5275590551181102,1.0,0.7244094488188977,0.4566929133858268,0.0,0.8976377952755905,0.7952755905511811,33.64201739777363,64.06213387012728,64.0621338701273
8860145151fffff,17.421202912746026,0.7811389546772156,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.610178066514213,14.688538160354222,14.688538160354225
8860145155fffff,21.16072907929047,1.8437996898080817,140,0.0,0.0,0.0,0.0,0.0,0.2785714285714286,0.0,3.399597296136378,19.315047870524168,19.315047870524168
8860145157fffff,20.217649513486357,1.5639468587905883,40,0.0,0.0,0.0,0.0,0.0,0.975,0.0,2.4459297771209485,18.18109500499502,18.18109500499502
886014515dfffff,19.433052223279187,5.344982940688707,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5688426362533,17.59680119600362,17.59680119600362
8860145161fffff,51.01297074689312,5.124489715531687,122,0.39344262295081966,0.20491803278688525,0.0,0.7295081967213115,0.0,1.0,0.0,26.260394844590028,52.478765529128594,52.478765529128594
8860145163fffff,42.33279835354352,3.30881867379972,106,1.0,0.0660377358490566,0.0,0.0,0.0,1.0,0.0,10.948281016085737,44.219550319195356,44.219550319195356
8860145165fffff,70.81058051528343,6.532811593353456,103,1.0,1.0,0.4854368932038835,0.4563106796116505,0.4563106796116505,0.883495145631068,0.5728155339805825,42.67762731425332,73.00964633109339,73.0096463310934
8860145167fffff,53.49272382145313,2.6190171238756768,116,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.859250695154022,54.870635650164196,54.870635650164196
8860145169fffff,55.01416035232635,5.236776823806959,97,1.0,0.5463917525773195,0.0,0.7731958762886598,0.0,1.0,0.0,27.423831502361704,56.73196408461538,56.73196408461536
886014516bfffff,38.625100996987946,4.073959472538635,18,0.8888888888888888,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,16.597145783887278,40.492372489739424,40.492372489739424
886014516dfffff,62.144252095848074,2.0982007256876583,66,0.6212121212121212,0.9848484848484849,0.015151515151515152,0.9090909090909091,0.030303030303030304,0.8939393939393939,0.015151515151515152,4.402446285276216,63.726203061825125,63.726203061825125
8860145185fffff,48.58161239680522,,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,52.125251443968715,52.125251443968715
88601451a9fffff,32.028191125169585,3.9477962846501997,65,0.0,0.0,0.0,0.03076923076923077,0.0,0.0,0.0,15.58509550509792,32.76905955812047,32.76905955812047
88601451adfffff,42.56453466376706,2.335217789236373,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.453242123166013,44.03902392715895,44.03902392715895
88601451c5fffff,14.570023333192804,0.3823070898112319,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14615871091993335,11.197266424030104,11.197266424030104
88601451cdfffff,15.504825610875342,0.5898315460551282,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3479012527217829,12.28458679331771,12.28458679331771
88601451e1fffff,42.26847221049672,4.057105726829209,15,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,16.460106878670363,43.346160963216136,43.346160963216136
88601451e3fffff,40.81095076435878,3.5995720927601673,21,0.8571428571428571,0.0,0.14285714285714285,0.19047619047619047,0.0,0.0,0.0,12.95691925097781,42.83812725848802,42.838127258488015
88601451e5fffff,55.27572579850007,7.896712672735438,56,0.6607142857142857,1.0,0.23214285714285715,0.2857142857142857,0.0,0.0,0.35714285714285715,62.35807103574046,56.925184285121496,56.925184285121496
88601451e7fffff,52.65068521059728,5.157650459215024,14,0.21428571428571427,1.0,0.0,0.7857142857142857,0.0,0.0,0.0,26.601358259440946,54.34592134180644,54.345921341806445
88601451e9fffff,24.815579562192635,1.0252903391387833,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0512202795313212,24.08405851591977,24.08405851591977
88601451edfffff,34.94197138601781,4.584819676085003,67,0.6268656716417911,0.0,0.0,0.0,0.0,0.0,0.0,21.020571462216186,36.004618500370356,36.004618500370356
8860145307fffff,23.054413603719574,12.540320511092697,13,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,157.25963852093219,23.10344762941023,23.10344762941023
8860145321fffff,58.520995280864256,9.686038125918618,74,0.7162162162162162,1.0,0.6486486486486487,0.7162162162162162,0.0,0.6216216216216216,0.22972972972972974,93.81933457674904,61.66884482750461,61.66884482750461
8860145323fffff,60.50831772098959,9.066292428061068,7,0.7142857142857143,1.0,0.5714285714285714,0.7142857142857143,0.0,1.0,0.7142857142857143,82.19765839111746,64.84456333634385,64.84456333634387
8860145325fffff,46.80977912025354,7.452742583529454,81,0.32098765432098764,0.6172839506172839,0.24691358024691357,0.037037037037037035,0.0,0.5432098765432098,0.0,55.54337201635328,49.07861610592289,49.07861610592289
8860145327fffff,55.236131631239545,8.348156646153525,79,0.9113924050632911,0.5822784810126582,0.3924050632911392,0.24050632911392406,0.0,0.8354430379746836,0.4177215189873418,69.69171938871726,58.233831762619495,58.23383176261949
8860145329fffff,34.140061358455,3.9966972698153898,74,0.0,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,15.97358906654979,35.25071606675867,35.25071606675867
886014532bfffff,44.697917053575786,28.082671667592553,5,0.6,0.6,0.6,0.6,0.0,0.6,0.6,788.6364479898054,51.53209603066161,51.53209603066161
886014532dfffff,39.2357261756842,4.006040871087431,109,0.1926605504587156,0.30275229357798167,0.0,0.0,0.0,0.0,0.0,16.048363460822944,40.91958152706613,40.919581527066136
8860145331fffff,34.90727241283519,10.303737742989531,4,0.75,0.75,0.0,0.0,0.0,0.0,0.0,106.16701147630698,38.09301636693763,38.09301636693763
8860145335fffff,47.82910123905437,6.085591437626335,26,0.8846153846153846,0.34615384615384615,0.0,0.8461538461538461,0.0,0.8846153846153846,0.0,37.03442314571097,51.133366738828734,51.13336673882874
8860145337fffff,40.803024860706486,1.805934345249039,16,0.125,0.9375,0.0,0.125,0.0,1.0,0.0,3.2613988593500753,44.072206371073165,44.072206371073165
8860145339fffff,19.122127472182843,2.403979690836901,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.779118353956283,17.152825553,17.152825553
886014533dfffff,28.577777743710975,2.9173083087817195,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.510687768486857,28.983872319117648,28.983872319117655
8860145361fffff,22.661462001712085,3.490660212528603,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.18470871933023,21.3456754029563,21.345675402956303
8860145363fffff,23.01219555231733,1.4829546030831506,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.199154354805505,21.693588234899575,21.693588234899575
8860145365fffff,34.07297674828063,3.089159003197314,85,0.9411764705882353,0.0,0.0,0.0,0.0,0.27058823529411763,0.0,9.542903347035022,35.41678567573205,35.416785675732044
8860145367fffff,30.446662018521884,2.5213192172528442,55,0.5272727272727272,0.0,0.0,0.0,0.0,0.0,0.0,6.357050595288495,30.99130061088663,30.99130061088663
886014536dfffff,25.988103771919793,1.3648796929750897,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8628965762957754,25.75086888910756,25.750868889107558
8860145801fffff,47.83076408092257,3.000163667871767,57,0.2982456140350877,0.9473684210526315,0.0,0.0,0.0,0.9298245614035088,0.017543859649122806,9.000982034017774,49.04345996325577,49.04345996325577
8860145803fffff,50.91627446179431,1.3704271011261422,169,0.1893491124260355,1.0,0.0,0.0,0.0,1.0,0.1834319526627219,1.8780704395010013,52.634138126938716,52.634138126938716
8860145805fffff,51.14932838000038,3.7284877933640046,154,0.3051948051948052,0.8766233766233766,0.12337662337662338,0.24025974025974026,0.0,0.045454545454545456,0.05844155844155844,13.901621225264384,52.24637773313893,52.24637773313893
8860145807fffff,49.91445512620676,3.176905966589562,133,0.556390977443609,1.0,0.0,0.0,0.0,0.2857142857142857,0.3533834586466165,10.09273152055236,51.34804089422845,51.34804089422845
8860145809fffff,54.14524138385112,2.500723693479381,71,0.36619718309859156,1.0,0.0,0.22535211267605634,0.0,0.704225352112676,0.5352112676056338,6.253618991129157,55.51031254297737,55.51031254297737
886014580bfffff,56.37175357706219,5.017790297561095,103,0.9902912621359223,1.0,0.0,0.0,0.0,1.0,0.7572815533980582,25.178219470298256,58.592857682608724,58.5928576826087
886014580dfffff,59.812932067696536,4.94232093326399,127,0.2677165354330709,0.7874015748031497,0.5039370078740157,0.6850393700787402,0.0,0.7952755905511811,0.6692913385826772,24.426536207379435,61.348229151060515,61.348229151060515
8860145811fffff,49.96869635088864,5.9491552999038575,44,0.045454545454545456,0.6590909090909091,0.2727272727272727,0.0,0.0,1.0,0.4090909090909091,35.39244878237416,51.639582143845296,51.639582143845296
8860145813fffff,64.90635349730918,3.486401257413851,120,0.9416666666666667,0.9916666666666667,0.6333333333333333,0.5666666666666667,0.0,0.875,1.0,12.15499372769688,66.84535506587135,66.84535506587135
