h3,value_mean,value_std,value_count,coverage_school,coverage_hospital,coverage_pharmacy,coverage_supermarket,coverage_bus_station,coverage_park,coverage_bank,walkability_variance,accessibility_mean,population_weighted_accessibility
8860145101fffff,41.228664225808124,3.1190359868907547,63,0.06349206349206349,0.0,0.873015873015873,0.0,0.0,0.4444444444444444,0.0,9.728385487519585,43.21380132413611,43.213801324136114
8860145103fffff,58.2569008397179,6.140041804725726,13,0.5384615384615384,1.0,0.7692307692307693,0.8461538461538461,0.0,0.0,0.0,37.70011336377955,61.47367287440587,61.47367287440589
8860145105fffff,46.48412991028491,2.7254192724290607,27,0.6296296296296297,0.037037037037037035,0.18518518518518517,0.0,0.0,0.6296296296296297,0.1111111111111111,7.42791021052775,48.11883227152106,48.11883227152105
8860145107fffff,50.17006752409492,4.630650993151281,64,0.65625,0.125,0.0625,0.34375,0.0,0.5625,0.125,21.442928620372946,51.51382676824964,51.51382676824964
8860145109fffff,41.98999282965704,4.097091923854159,86,0.1511627906976744,0.3372093023255814,0.0,0.0,0.0,0.011627906976744186,0.0,16.78616223251098,43.67976345523928,43.679763455239296
886014510bfffff,54.659291754316094,5.724310523591621,113,1.0,0.5309734513274337,0.35398230088495575,0.7964601769911505,0.0,0.8672566371681416,0.05309734513274336,32.76773097050177,57.1841187882691,57.18411878826911
886014510dfffff,40.78197022952443,4.978972132874119,53,0.9056603773584906,0.0,0.0,0.0,0.0,0.7547169811320755,0.0,24.790163499937055,42.54215306665307,42.54215306665307
8860145111fffff,48.543222351064756,3.286647076720677,57,0.3684210526315789,0.9824561403508771,0.0,0.5789473684210527,0.0,0.17543859649122806,0.0,10.80204900691657,50.650881068164914,50.650881068164914
8860145113fffff,51.58474245857624,4.973461456775717,56,0.26785714285714285,1.0,0.0,0.19642857142857142,0.0,0.9285714285714286,0.0,24.73531886203364,53.93196556149911,53.93196556149912
8860145115fffff,46.0959161562029,6.075981665560328,85,0.17647058823529413,1.0,0.03529411764705882,0.23529411764705882,0.0,0.0,0.0,36.91755320022526,48.16783207773938,48.167832077739384
8860145117fffff,41.68867989345379,2.6040312846509797,113,1.0,0.8141592920353983,0.0,0.0,0.0,0.09734513274336283,0.0,6.780978931441031,43.409497645165544,43.409497645165544
8860145119fffff,51.65958575577989,2.5383923621348075,13,0.9230769230769231,0.7692307692307693,0.15384615384615385,0.0,0.0,0.0,0.8461538461538461,6.443435784144328,54.65783908821827,54.65783908821827
886014511bfffff,53.3166179801512,4.167426604555875,32,0.0,0.6875,0.8125,0.90625,0.0,0.0625,0.8125,17.367444504360112,56.29733007369183,56.297330073691825
886014511dfffff,61.0239750852475,3.9278184959728573,100,0.75,1.0,0.86,0.82,0.0,0.52,0.74,15.427758137306478,64.08371368811524,64.08371368811525
8860145121fffff,66.40813339385565,3.454708793333679,132,0.7121212121212122,1.0,0.0,1.0,0.3106060606060606,1.0,0.7803030303030303,11.935012846737044,68.66417938613766,68.66417938613766
8860145123fffff,56.00808149530553,5.075954113891347,124,0.8467741935483871,1.0,0.0,0.717741935483871,0.0,0.967741935483871,0.07258064516129033,25.76531016633049,57.80851843694444,57.80851843694443
8860145125fffff,68.52020135230376,5.046896987190208,161,1.0,1.0,0.0,1.0,0.0,1.0,0.9130434782608695,25.4711691993096,70.80362373599688,70.80362373599688
8860145127fffff,61.1286641025501,4.775121882630016,137,0.6277372262773723,1.0,0.0,0.6788321167883211,0.0,0.8905109489051095,0.9708029197080292,22.80178899397203,62.91650840541824,62.91650840541824
