h3,value_mean,value_std,value_count,coverage_school,coverage_hospital,coverage_pharmacy,coverage_supermarket,coverage_bus_station,coverage_park,walkability_variance,accessibility_mean,population_weighted_accessibility
886014369bfffff,0.39738893679445053,0.22151470295929723,12,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.04906876362714569,0.16666666666666666,0.16666666666666666
88601436d3fffff,0.3791732857930167,0.15197895882383228,26,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.023097603925176104,0.07692307692307693,0.07692307692307693
88601436d9fffff,0.3812416861355314,0.006640504856972468,117,0.0,0.0,0.0,0.0,0.0,0.0,4.409630475547494e-05,0.0,0.0
88601436dbfffff,0.37715710300885175,0.010926565251368597,212,0.0,0.0,0.0,0.0,0.0,0.0,0.00011938982819241571,0.0,0.0
886015ca09fffff,0.37070707944333336,0.018128028718976532,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0003286254252360379,0.0,0.0
886015ca0dfffff,0.36201078940992204,0.00748930696761012,14,0.0,0.0,0.0,0.0,0.0,0.0,5.6089718855093484e-05,0.0,0.0
886015ca21fffff,0.3803231245334458,0.0078057155558558374,118,0.0,0.0,0.0,0.0,0.0,0.0,6.092919533892981e-05,0.0,0.0
886015ca25fffff,0.3806803375123482,0.025640435814958458,254,0.003937007874015748,0.0,0.0,0.0,0.0,0.0,0.0006574319487810045,0.003937007874015748,0.003937007874015748
886015ca27fffff,0.3645212795271108,,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
886015ca29fffff,0.380132265712334,0.04675554152879749,77,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0021860806636511067,0.012987012987012988,0.012987012987012988
886015ca2bfffff,0.3664737978343215,0.010349705844336577,9,0.0,0.0,0.0,0.0,0.0,0.0,0.00010711641106429469,0.0,0.0
886015ca2dfffff,0.38003452737255505,0.005760800271053587,268,0.0,0.0,0.0,0.0,0.0,0.0,3.318681976297108e-05,0.0,0.0
886015ca41fffff,0.37882174479037245,0.014099691492289405,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0001988013001777382,0.0,0.0
886015ca43fffff,0.3797191160914178,0.03707989336639207,127,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0013749184920630068,0.007874015748031496,0.007874015748031496
886015ca45fffff,0.39513077908400956,0.1856820003462116,43,0.046511627906976744,0.046511627906976744,0.0,0.0,0.0,0.0,0.03447780525257053,0.13953488372093023,0.13953488372093023
886015ca47fffff,0.37728453199288103,0.010943113831481907,84,0.0,0.0,0.0,0.0,0.0,0.0,0.00011975174032877063,0.0,0.0
886015ca49fffff,0.38454328086540035,0.08629361565478737,220,0.004545454545454545,0.0,0.01818181818181818,0.0,0.0,0.0,0.007446588102776164,0.031818181818181815,0.031818181818181815
886015ca4bfffff,0.37960578729381333,0.010588226880784752,234,0.0,0.0,0.0,0.0,0.0,0.0,0.00011211054847897278,0.0,0.0
886015ca4dfffff,0.38229012012776903,0.12618110041169237,160,0.0,0.025,0.0,0.0,0.0,0.0,0.015921670101105588,0.05,0.05
886015ca5dfffff,0.3672276474684163,0.018158486096808365,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0003297306173279827,0.0,0.0
886015ca61fffff,0.3818925577249476,0.10218103486721188,122,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.010440963886534368,0.03278688524590164,0.03278688524590164
886015ca63fffff,0.3790442735300651,0.07900706849505268,100,0.0,0.01,0.0,0.0,0.0,0.0,0.0062421168721819445,0.02,0.02
886015ca65fffff,0.3749249436898878,0.013901458445042343,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0001932505468992391,0.0,0.0
886015ca67fffff,0.3810550229198863,0.03368014703269024,143,0.006993006993006993,0.0,0.0,0.0,0.0,0.0,0.0011343523041436332,0.006993006993006993,0.006993006993006993
886015ca69fffff,0.39135112501795916,0.12809793440978406,48,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.01640908080005334,0.0625,0.0625
886015ca6bfffff,0.3704867710609139,0.01481935507239961,67,0.0,0.0,0.0,0.0,0.0,0.0,0.00021961328476185604,0.0,0.0
886015ca6dfffff,0.3867612158772999,0.10308065166120213,164,0.018292682926829267,0.012195121951219513,0.0,0.0,0.0,0.0,0.010625620746898094,0.042682926829268296,0.042682926829268296
886015cb19fffff,0.38017750231961583,0.0864121742159734,86,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.007467063852731737,0.023255813953488372,0.023255813953488372
886015cb1bfffff,0.37996115377699397,0.01233197413675929,7,0.0,0.0,0.0,0.0,0.0,0.0,0.00015207758610970003,0.0,0.0
886015cb41fffff,0.3788823777680928,,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
886015cb43fffff,0.3844887034439714,0.006281735328626788,5,0.0,0.0,0.0,0.0,0.0,0.0,3.9460198738917906e-05,0.0,0.0
886015cb49fffff,0.38151567886125076,0.011128193831116519,111,0.0,0.0,0.0,0.0,0.0,0.0,0.00012383669794289976,0.0,0.0
886015cb4bfffff,0.381562954354229,0.013219585206150412,186,0.0,0.0,0.0,0.0,0.0,0.0,0.0001747574330226708,0.0,0.0
886015cb51fffff,0.38047903832183494,0.03821432557815142,271,0.0,0.0,0.0036900369003690036,0.0,0.0,0.0,0.0014603346793929583,0.005535055350553505,0.005535055350553505
886015cb53fffff,0.37955418470551056,0.009177102497751695,268,0.0,0.0,0.0,0.0,0.0,0.0,8.42192102542404e-05,0.0,0.0
886015cb55fffff,0.3785357316877419,0.010854085591198685,108,0.0,0.0,0.0,0.0,0.0,0.0,0.00011781117402106691,0.0,0.0
886015cb57fffff,0.3751624301231023,0.011209705730431506,84,0.0,0.0,0.0,0.0,0.0,0.0,0.00012565750256286892,0.0,0.0
886015cb59fffff,0.3815950259950833,0.10607528879615895,145,0.0,0.013793103448275862,0.006896551724137931,0.0,0.0,0.0,0.011251966893188524,0.03793103448275862,0.03793103448275862
886015cb5bfffff,0.3775032953048798,0.049133686618509254,262,0.0,0.003816793893129771,0.0,0.0,0.0,0.0,0.0024141191607258755,0.007633587786259542,0.007633587786259542
886015cb5dfffff,0.3829347044739555,0.0712294851728337,162,0.006172839506172839,0.006172839506172839,0.0,0.0,0.0,0.0,0.005073639557986936,0.018518518518518517,0.018518518518518517
886015d813fffff,0.36932129495533594,0.015796468408767163,5,0.0,0.0,0.0,0.0,0.0,0.0,0.00024952841418917905,0.0,0.0
886015d817fffff,0.3733432317193563,0.01261852839234322,14,0.0,0.0,0.0,0.0,0.0,0.0,0.00015922725878837198,0.0,0.0
886015d821fffff,0.3713980098288822,0.013163154109815186,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0001732686261187444,0.0,0.0
